L_theoretical_90,L_observed,L_theoretical_low_90,L_theoretical_high_90,Verification
21.514,21.072,19.363,23.666,X
2.394,2.59,2.155,2.634,X
1.716,2.062,1.544,1.887,
1.34,1.802,1.206,1.474,
2.354,2.536,2.119,2.589,X
1.208,1.595,1.088,1.329,
0.968,1.434,0.871,1.064,
0.805,1.34,0.724,0.885,
1.618,1.935,1.457,1.78,
0.949,1.404,0.854,1.043,
0.777,1.273,0.699,0.855,
0.653,1.218,0.588,0.718,
1.24,1.67,1.116,1.364,
0.774,1.276,0.697,0.851,
0.644,1.194,0.579,0.708,
0.542,1.121,0.488,0.596,
1.493,1.816,1.344,1.643,
1.016,1.477,0.915,1.118,
0.873,1.4,0.786,0.961,
0.765,1.36,0.689,0.842,
0.984,1.429,0.886,1.083,
0.718,1.238,0.646,0.79,
0.626,1.189,0.564,0.689,
0.551,1.165,0.496,0.606,
0.837,1.322,0.754,0.921,
0.62,1.178,0.558,0.682,
0.541,1.114,0.487,0.595,
0.474,1.097,0.427,0.521,
0.728,1.263,0.656,0.801,
0.543,1.142,0.488,0.597,
0.472,1.076,0.425,0.519,
0.41,1.063,0.369,0.451,
