File,lambda,m1,m2,L_theoretical_95,L_observed,L_theoretical_low_95,L_theoretical_high_95,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,20.438529610527798,22.589953780057037,X
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,2.2744634740135714,2.513880681804474,
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.630017322068316,1.80159809281235,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.2727706464474724,1.406746503968259,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,2.2363714526468454,2.471778973978093,
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,1.1479349040838396,1.2687701571452963,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.91918300815921,1.015939114281232,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.7644131206292781,0.8448776596428864,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.5375603037773828,1.6994087568065808,
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.9011181953246488,0.9959727422009278,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.7381022935500168,0.8157972718184398,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.6204852140659552,0.6857994471255296,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,1.1778896007473607,1.301877979773399,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.7352848061250671,0.812683206769811,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.6115209137032074,0.675891536198282,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.5150252840402806,0.5692384718339945,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.4187739371578216,1.5681185621218028,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,0.965340627536985,1.066955430435615,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.8295662990064714,0.9168890673229422,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.7268921515026889,0.8034071148187616,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.935182100064954,1.033622321124423,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.6818894485436316,0.753667285232435,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.5948980899884356,0.6575189415661659,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.5237844336719596,0.5789196372163764,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.7956015304232275,0.8793490599414621,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.5890313933900094,0.651034697957379,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.5137529292403911,0.567832184949906,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.4501954406393627,0.4975844343908747,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.6919749322069084,0.7648143987550042,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.5154297848566375,0.569685551683652,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.4482320133086191,0.4954143304990001,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.3893628324585247,0.4303483937699485,
