File,lambda,m1,m2,L_theoretical_85,L_observed,L_theoretical_low_85,L_theoretical_high_85,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,21.334795576322335,21.6936878142625,
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,2.368218938408935,2.42012521740911,
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.696690788913262,1.734924625967404,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.324159071024285,1.3553580793914468,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,2.3289650918701654,2.379185334754773,
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,1.195512763134869,1.221192298094267,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.9572008051460267,0.9779213172944152,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.7958359977053471,0.8134547825668175,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.6011148194950588,1.6358542410889045,
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.9387357131454842,0.9583552243800924,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.7690019988390119,0.7848975665294445,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.6464329488149235,0.6598517123765614,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,1.2265291939517082,1.2532383865690513,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.7662063285544227,0.7817616843404553,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.6373957434947731,0.6500167064067163,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.5369216882562967,0.5473420676179784,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.4755089044117375,1.5113835948678869,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,1.003762940478527,1.028533117494073,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.8623556796519295,0.8840996866774841,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.7553073806058239,0.7749918857156266,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.9730237751539615,0.9957806460354156,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.7096421112562082,0.7259146225198584,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.619108630981827,0.6333084005727745,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.5449902256208703,0.5577138452674657,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.8279263057109368,0.8470242846537527,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.6132681236322318,0.6267979677151566,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.5349848891829291,0.5466002250073679,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.4687823644429414,0.4789975105872959,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.7200497852304372,0.7367395457314755,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.536690916449438,0.5484244200908515,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.4668551901146637,0.4767911536929555,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.405603873017764,0.4141073532107092,
