L_theoretical_85,L_observed,L_theoretical_low_85,L_theoretical_high_85,Verification
21.514,21.072,21.335,21.694,
2.394,2.59,2.368,2.42,
1.716,2.062,1.697,1.735,
1.34,1.802,1.324,1.355,
2.354,2.536,2.329,2.379,
1.208,1.595,1.196,1.221,
0.968,1.434,0.957,0.978,
0.805,1.34,0.796,0.813,
1.618,1.935,1.601,1.636,
0.949,1.404,0.939,0.958,
0.777,1.273,0.769,0.785,
0.653,1.218,0.646,0.66,
1.24,1.67,1.227,1.253,
0.774,1.276,0.766,0.782,
0.644,1.194,0.637,0.65,
0.542,1.121,0.537,0.547,
1.493,1.816,1.476,1.511,
1.016,1.477,1.004,1.029,
0.873,1.4,0.862,0.884,
0.765,1.36,0.755,0.775,
0.984,1.429,0.973,0.996,
0.718,1.238,0.71,0.726,
0.626,1.189,0.619,0.633,
0.551,1.165,0.545,0.558,
0.837,1.322,0.828,0.847,
0.62,1.178,0.613,0.627,
0.541,1.114,0.535,0.547,
0.474,1.097,0.469,0.479,
0.728,1.263,0.72,0.737,
0.543,1.142,0.537,0.548,
0.472,1.076,0.467,0.477,
0.41,1.063,0.406,0.414,
