L_theoretical_80,L_observed,L_theoretical_low_80,L_theoretical_high_80,Verification
21.514,21.072,21.354,21.674,
2.394,2.59,2.371,2.417,
1.716,2.062,1.699,1.733,
1.34,1.802,1.326,1.354,
2.354,2.536,2.332,2.376,
1.208,1.595,1.197,1.22,
0.968,1.434,0.958,0.977,
0.805,1.34,0.797,0.812,
1.618,1.935,1.603,1.634,
0.949,1.404,0.94,0.957,
0.777,1.273,0.77,0.784,
0.653,1.218,0.647,0.659,
1.24,1.67,1.228,1.252,
0.774,1.276,0.767,0.781,
0.644,1.194,0.638,0.649,
0.542,1.121,0.537,0.547,
1.493,1.816,1.477,1.509,
1.016,1.477,1.005,1.027,
0.873,1.4,0.864,0.883,
0.765,1.36,0.756,0.774,
0.984,1.429,0.974,0.995,
0.718,1.238,0.711,0.725,
0.626,1.189,0.62,0.633,
0.551,1.165,0.546,0.557,
0.837,1.322,0.829,0.846,
0.62,1.178,0.614,0.626,
0.541,1.114,0.536,0.546,
0.474,1.097,0.469,0.478,
0.728,1.263,0.721,0.736,
0.543,1.142,0.537,0.548,
0.472,1.076,0.467,0.476,
0.41,1.063,0.406,0.414,
