File,lambda,m1,m2,L_theoretical_90,L_observed,L_theoretical_low_90,L_theoretical_high_90,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,21.30918571831036,21.71929767227447,
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,2.3645150119011564,2.4238291439168878,
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.6939625000571403,1.7376529148235256,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.321932773236552,1.3575843771791796,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,2.325381477130329,2.3827689494946096,
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,1.1936803237445746,1.2230247374845615,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.9557222315383731,0.9793998909020687,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.7945787570489128,0.8147120232232518,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.598635884784147,1.6383331757998165,
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.9373357047239351,0.9597552328016413,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.7678677234554001,0.7860318419130563,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.6454754131368721,0.6608092480546129,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,1.224623280194449,1.2551443003263105,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.7650963300004209,0.7828716828944572,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.6364951372485985,0.6509173126528909,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.5361781111769475,0.5480856446973277,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.472948579587115,1.5139439196925095,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,1.0019951287339013,1.0303009292386989,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.860803841287154,0.8856515250422595,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.7539025259171224,0.7763967404043282,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.971399650159218,0.997404771030159,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.708480765638517,0.7270759681375496,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.618095213942534,0.6343218176120675,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.5440821592703033,0.5586219116180327,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.8265633105473359,0.8483872798173536,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.6123025182085103,0.6277635731388781,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.5341559194474552,0.5474291947428418,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.4680533242218834,0.4797265508083539,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.7188586611375325,0.7379306698243802,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.5358535132476006,0.5492618232926889,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.4661460747499711,0.4775002690576481,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.4049969919225726,0.4147142343059006,
