File,Strategy,lambda,m1,m2,mean_W,ci_low_W,ci_high_W,L_observed,L_theoretical,L_theoretical_low,L_theoretical_high,L_difference,percentage_L_difference,little_verification
Config1,Exact_N,1.25,0.4,0.4,17.900063890841302,17.70330789176975,18.09681988991285,21.844395042864154,22.375079863551626,22.12913486471219,22.621024862391064,0.5306848206874726,2.429386667134231,False
Config2,Limited_N,1.25,0.4,0.4,17.211393356233934,17.015917489980726,17.406869222487142,21.072197154658674,21.51424169529242,21.269896862475907,21.75858652810893,0.442044540633745,2.0977619817685556,False
Config3,Exact_N,1.25,0.4,0.3,2.6825980845801483,2.6565498679534074,2.708646301206889,3.12837707784602,3.353247605725185,3.320687334941759,3.3858078765086113,0.2248705278791654,7.188088976601101,False
Config4,Limited_N,1.25,0.4,0.3,1.915337662327218,1.8870661609245365,1.9436091637299,2.590469398712977,2.3941720779090225,2.3588327011556705,2.429511454662375,0.19629732080395446,7.577673795393254,False
Config5,Exact_N,1.25,0.4,0.25,2.1546000446323257,2.1357444120883606,2.1734556771762907,2.521567231156963,2.693250055790407,2.669680515110451,2.7168195964703634,0.17168282463344386,6.808576131228956,False
Config6,Limited_N,1.25,0.4,0.25,1.3726461659522664,1.3518215567002252,1.3934707752043076,2.0624057857658773,1.715807707440333,1.6897769458752814,1.7418384690053845,0.34659807832554423,16.805522982803044,False
Config7,Exact_N,1.25,0.4,0.2,1.867972326473403,1.8521053677959256,1.88383928515088,2.2221865269069094,2.3349654080917537,2.315131709744907,2.3547991064386,0.11277888118484425,5.07513117460138,False
Config8,Limited_N,1.25,0.4,0.2,1.071806860166293,1.0548138715374695,1.0887998487951158,1.8017477030275533,1.339758575207866,1.3185173394218368,1.3609998109938948,0.46198912781968726,25.641166465392867,False
Config9,Exact_N,1.25,0.3,0.4,2.754437428177702,2.7286107600572174,2.7802640962981866,3.223907243610995,3.4430467852221276,3.4107634500715216,3.475330120372733,0.21913954161113258,6.797327747112273,False
Config10,Limited_N,1.25,0.3,0.4,1.8832601706499756,1.855906992643206,1.910613348656745,2.536445348569758,2.3540752133124694,2.3198837408040074,2.3882666858209314,0.18237013525728862,7.189988751782997,False
Config11,Exact_N,1.25,0.3,0.3,1.8916838836079872,1.8777063461515024,1.905661421064472,2.1974927376601956,2.364604854509984,2.347132932689378,2.38207677633059,0.16711211684978844,7.604672087686756,False
Config12,Limited_N,1.25,0.3,0.3,0.9666820244916544,0.952695296438534,0.9806687525447748,1.594586380432958,1.208352530614568,1.1908691205481676,1.2258359406809685,0.38623384981839015,24.221569590574386,False
