File,Description
Config1,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config2,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config11,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config12,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config21,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config22,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config31,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config32,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config41,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config42,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config51,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config52,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config61,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config62,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config71,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config72,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config81,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config82,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config91,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config92,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config101,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config102,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config111,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config112,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config121,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config122,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config131,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config132,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config141,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config142,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config151,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config152,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config161,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config162,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config171,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config172,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config181,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config182,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config191,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config192,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config201,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config202,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config211,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
